distortion,param_name,param_value,level,true_label,predicted,word_correct,char_correct
blur,radius,0.3,1,0FysH,OFysH,0,4
blur,radius,0.3,1,B6bRc,B6bRc,1,5
blur,radius,0.3,1,7tTVW,7tTVW,1,5
blur,radius,0.3,1,7Vy3u,7Vy3u,1,5
blur,radius,0.3,1,SpbEn,spbEn,0,4
blur,radius,0.3,1,uMkuC,uMkuc,0,4
blur,radius,0.3,1,fITtE,i1TtE,0,3
blur,radius,0.3,1,n6OMG,n6OMG,1,5
blur,radius,0.3,1,g9soP,g9s6P,0,4
blur,radius,0.3,1,bxMGc,bxMGc,1,5
blur,radius,0.3,1,KU6qq,KU6qq,1,5
blur,radius,0.3,1,f59xL,i59xL,0,4
blur,radius,0.7,2,s1jbe,s1lbe,0,4
blur,radius,0.7,2,4sI34,4sl34,0,4
blur,radius,0.7,2,tKx7U,tkx7U,0,4
blur,radius,0.7,2,Oucqi,Oucqi,1,5
blur,radius,0.7,2,gc54X,gc54X,1,5
blur,radius,0.7,2,sJRm1,sJRm1,1,5
blur,radius,0.7,2,g9q5K,g9q5K,1,5
blur,radius,0.7,2,qicVz,qIcVz,0,4
blur,radius,0.7,2,6UFX1,6UFX1,1,5
blur,radius,0.7,2,pUpGJ,pUpGu,0,4
blur,radius,0.7,2,leunw,leunw,1,5
blur,radius,0.7,2,vwgd3,wgd3,0,0
blur,radius,0.7,2,sKDQl,sKDQI,0,4
blur,radius,0.7,2,h87sr,h87sr,1,5
blur,radius,0.7,2,lfqFS,ltqFs,0,3
blur,radius,0.7,2,qMQlR,qMQlR,1,5
blur,radius,0.7,2,IIkE4,lkE4,0,0
blur,radius,0.7,2,eu8aI,eu8aI,1,5
blur,radius,0.7,2,RsRz4,RsRz4,1,5
blur,radius,0.7,2,440sK,44OsK,0,4
blur,radius,0.7,2,WlCO7,WlcO7,0,4
blur,radius,0.7,2,It1Ds,lt1Ds,0,4
blur,radius,0.7,2,rMZYY,rMZYY,1,5
blur,radius,0.7,2,2sPmb,2sPmb,1,5
blur,radius,0.7,2,LVLm2,LVLm2,1,5
blur,radius,0.7,2,mHloO,mHleO,0,4
blur,radius,0.7,2,bKPWn,bKPWn,1,5
blur,radius,0.7,2,apMaq,apMaq,1,5
blur,radius,0.7,2,n7rfd,n7rrd,0,4
blur,radius,0.7,2,AAbdR,AAbdR,1,5
blur,radius,0.7,2,85uGl,85uGl,1,5
blur,radius,0.7,2,KJC8h,KJc8h,0,4
blur,radius,0.7,2,pJ7fu,pJ7tu,0,4
blur,radius,0.7,2,8uqwc,8uqwc,1,5
blur,radius,0.7,2,VG3Gu,vG3Gu,0,4
blur,radius,0.7,2,GmF0m,GmFOm,0,4
blur,radius,0.7,2,GYsdS,GYsds,0,4
blur,radius,0.7,2,s9LYo,s9LLY6,0,3
blur,radius,0.7,2,4ubvr,4ubvr,1,5
blur,radius,0.7,2,4C0FS,4cOFs,0,2
blur,radius,0.7,2,L9Als,L9AIs,0,4
blur,radius,0.7,2,piw8u,piw8u,1,5
blur,radius,0.7,2,x68PH,x68PH,1,5
blur,radius,0.7,2,kIbuV,klbuV,0,4
blur,radius,0.7,2,ZVhNj,zvhNj,0,3
blur,radius,0.7,2,k9W7y,k9W7y,1,5
blur,radius,0.7,2,13EPa,13EPa,1,5
blur,radius,0.7,2,QvGxf,QvGxf,1,5
blur,radius,0.7,2,Dgt3G,Dgt3G,1,5
blur,radius,0.7,2,uuuIV,uulV,0,2
blur,radius,0.7,2,iSQaJ,isQaJ,0,4
blur,radius,0.7,2,5lizu,5Iizu,0,4
blur,radius,0.7,2,eKUJC,eKUJc,0,4
blur,radius,0.7,2,ukxaD,ulxaD,0,4
blur,radius,0.7,2,GT8xC,GT8xc,0,4
blur,radius,0.7,2,VDKuk,vDKuk,0,4
blur,radius,0.7,2,EnUYx,EnUYx,1,5
blur,radius,0.7,2,Lb6bF,Lb6bF,1,5
blur,radius,0.7,2,yInn4,ylnn4,0,4
blur,radius,0.7,2,cEJsK,cEJsK,1,5
blur,radius,0.7,2,1hBhE,1hBhE,1,5
blur,radius,0.7,2,Ttaby,Traby,0,4
blur,radius,0.7,2,qeQ1k,qeQ1k,1,5
blur,radius,0.7,2,ijCPD,ijCPD,1,5
blur,radius,0.7,2,gvhNG,gvhNG,1,5
blur,radius,0.7,2,PVbAc,PvbAc,0,4
blur,radius,0.7,2,DAoot,DA66t,0,3
blur,radius,0.7,2,Hagc6,Hagc6,1,5
blur,radius,0.7,2,C9rsA,c9rsA,0,4
blur,radius,0.7,2,k1QXs,k1QXs,1,5
blur,radius,0.7,2,O0LII,OOLlI,0,3
blur,radius,0.7,2,0qDUd,OqDUd,0,4
blur,radius,0.7,2,9ezdG,9ezdG,1,5
blur,radius,0.7,2,TvKYK,TvKYK,1,5
blur,radius,0.7,2,A3Jao,A3Ja6,0,4
blur,radius,0.7,2,BhFDo,BhFD6,0,4
blur,radius,0.7,2,CKKRl,cKKRI,0,3
blur,radius,0.7,2,zYgfL,zYgfL,1,5
blur,radius,0.7,2,ptU3R,ptUsR,0,4
blur,radius,0.7,2,x6qzt,x6qzt,1,5
blur,radius,0.7,2,yB7XF,yB7XF,1,5
blur,radius,0.7,2,Q72kc,Q72kc,1,5
blur,radius,0.7,2,dJX2J,dJX2J,1,5
blur,radius,0.7,2,F6ZjE,F6ZjE,1,5
blur,radius,0.7,2,ZVbE7,zvbE7,0,3
blur,radius,0.7,2,KB0wx,KBOwx,0,4
blur,radius,0.7,2,741tE,741tE,1,5
blur,radius,0.7,2,JbR1k,JbR1k,1,5
blur,radius,0.7,2,cqvPz,cqvPz,1,5
blur,radius,0.7,2,9BIwy,9Blwy,0,4
blur,radius,0.7,2,bn6PU,bn6PU,1,5
blur,radius,0.7,2,9dKLI,9dKLl,0,4
blur,radius,0.7,2,DBlKs,DBIKs,0,4
blur,radius,0.7,2,KyGE4,KyGE4,1,5
blur,radius,0.7,2,TdReG,TdReG,1,5
blur,radius,0.7,2,6dtP1,6dtP1,1,5
blur,radius,0.7,2,VDDBl,vDDBI,0,3
blur,radius,0.7,2,O1Bvt,O1Bvt,1,5
blur,radius,0.7,2,XBk4Q,XBk4Q,1,5
blur,radius,0.7,2,CVjZy,cVizy,0,2
blur,radius,0.7,2,r1rlX,r1rlX,1,5
blur,radius,0.7,2,iGgk4,iGgk4,1,5
blur,radius,0.7,2,BjXg3,BjXgs,0,4
blur,radius,0.7,2,i3D6c,i3D6c,1,5
blur,radius,0.7,2,NAErf,NAEif,0,4
blur,radius,0.7,2,BYxfA,BYxiA,0,4
blur,radius,0.7,2,WlOpY,WIOpY,0,4
blur,radius,0.7,2,C8pYc,c8pYc,0,4
blur,radius,0.7,2,65WJj,65WJj,1,5
blur,radius,0.7,2,8tIhU,8tlhU,0,4
blur,radius,0.7,2,a0G7G,aOG7G,0,4
blur,radius,0.7,2,6JGmI,6JGml,0,4
blur,radius,0.7,2,1saKV,1saKV,1,5
blur,radius,0.7,2,WYvTZ,WYvIz,0,3
blur,radius,0.7,2,ULtbO,ULtbO,1,5
blur,radius,0.7,2,ZRspw,ZRspw,1,5
blur,radius,0.7,2,UV911,UV911,1,5
blur,radius,0.7,2,pePNl,pePNI,0,4
blur,radius,0.7,2,C0qNZ,COqNz,0,3
blur,radius,0.7,2,23KL2,23KL2,1,5
blur,radius,0.7,2,lhPcy,lhPcy,1,5
blur,radius,0.7,2,u32K7,u32K7,1,5
blur,radius,0.7,2,yecvR,yecvR,1,5
blur,radius,0.7,2,KOYK1,KOYK1,1,5
blur,radius,0.7,2,8KYWk,8KYWk,1,5
blur,radius,0.7,2,phdsA,phdsA,1,5
blur,radius,0.7,2,OBad7,OBad7,1,5
blur,radius,0.7,2,YqVlY,YqVIY,0,4
blur,radius,0.7,2,hjc2T,hIc2T,0,4
blur,radius,0.7,2,WZlQJ,WzlQJ,0,4
blur,radius,0.7,2,56zBQ,56zBQ,1,5
blur,radius,0.7,2,BDVK0,BDVKO,0,4
blur,radius,0.7,2,Lsw8J,Lsw8J,1,5
blur,radius,0.7,2,Lht6Y,Lht6Y,1,5
blur,radius,0.7,2,BjWrS,BjWrs,0,4
blur,radius,0.7,2,EP5Wq,EP5Wq,1,5
blur,radius,0.7,2,wBPnM,wBPnM,1,5
blur,radius,0.7,2,LFCdV,LFcdV,0,4
blur,radius,0.7,2,ZHn3e,zHn3e,0,4
blur,radius,0.7,2,M5aLk,M5aLk,1,5
blur,radius,0.7,2,45Chc,45Chc,1,5
blur,radius,0.7,2,v2hq0,v2hqO,0,4
blur,radius,0.7,2,n7qQj,n7qQj,1,5
blur,radius,0.7,2,QY6BX,QY6BX,1,5
blur,radius,0.7,2,iXE63,iXE63,1,5
blur,radius,0.7,2,DgU9D,DgU9D,1,5
blur,radius,0.7,2,08d2g,O8d2g,0,4
blur,radius,0.7,2,2bdHG,2bdHG,1,5
blur,radius,0.7,2,qlAnS,qIAns,0,3
blur,radius,0.7,2,qxVQc,qxVQc,1,5
blur,radius,0.7,2,7AzM2,7AzM2,1,5
blur,radius,0.7,2,fE91j,fE91j,1,5
blur,radius,0.7,2,XDfI2,XD112,0,3
blur,radius,0.7,2,pEAQj,pEAQj,1,5
blur,radius,0.7,2,n7pmv,n7pmv,1,5
blur,radius,0.7,2,i75Yq,i75Yq,1,5
blur,radius,0.7,2,s8Nrx,s8Nrx,1,5
blur,radius,0.7,2,dy6dJ,dy6dJ,1,5
blur,radius,0.7,2,5EJq5,5EJq5,1,5
blur,radius,0.7,2,xHuf0,xHufO,0,4
blur,radius,0.7,2,166zK,166zK,1,5
blur,radius,0.7,2,8TLt0,8TLtO,0,4
blur,radius,0.7,2,GTTZX,GTtzx,0,2
blur,radius,0.7,2,34dyX,34dyx,0,4
blur,radius,0.7,2,ss7aZ,ss7az,0,4
blur,radius,0.7,2,Ukgw3,Ukgw3,1,5
blur,radius,0.7,2,t8e0P,t8eOP,0,4
blur,radius,0.7,2,OL85u,OL85u,1,5
blur,radius,0.7,2,38w10,38w1O,0,4
blur,radius,0.7,2,3pUKt,3pUKt,1,5
blur,radius,0.7,2,ONqNH,ONqNH,1,5
blur,radius,0.7,2,ArXeq,ArXeq,1,5
blur,radius,0.7,2,GUkgN,GUkgN,1,5
blur,radius,0.7,2,XZGQg,xzGQg,0,3
blur,radius,0.7,2,UV17n,UV17n,1,5
blur,radius,0.7,2,eQsCi,eQsci,0,4
blur,radius,0.7,2,OQWvo,OQWv6,0,4
blur,radius,0.7,2,8AOxb,8AOxb,1,5
blur,radius,0.7,2,vgIFD,vglFD,0,4
blur,radius,0.7,2,S5Rmg,s5Rmg,0,4
blur,radius,0.7,2,IjQgf,ljQgf,0,4
blur,radius,0.7,2,akcH1,akcH1,1,5
blur,radius,0.7,2,KKJm8,kKKJm8,0,1
blur,radius,0.7,2,xTtqk,xTtqk,1,5
blur,radius,0.7,2,dtDvO,dtDvO,1,5
blur,radius,0.7,2,lLF7Y,lLF7Y,1,5
blur,radius,0.7,2,tCign,tCign,1,5
blur,radius,0.7,2,Edwda,Edwda,1,5
blur,radius,0.7,2,0FysH,OFysH,0,4
blur,radius,0.7,2,B6bRc,B6bRc,1,5
blur,radius,0.7,2,7tTVW,7tTvW,0,4
blur,radius,0.7,2,7Vy3u,7Vy3u,1,5
blur,radius,0.7,2,SpbEn,spbEn,0,4
blur,radius,0.7,2,uMkuC,uMkuc,0,4
blur,radius,0.7,2,fITtE,f1TtE,0,4
blur,radius,0.7,2,n6OMG,n6OMG,1,5
blur,radius,0.7,2,g9soP,g9seP,0,4
blur,radius,0.7,2,bxMGc,bxMGc,1,5
blur,radius,0.7,2,KU6qq,KU6qq,1,5
blur,radius,0.7,2,f59xL,f59xL,1,5
blur,radius,1.1,3,s1jbe,s1jbe,1,5
blur,radius,1.1,3,4sI34,4sl34,0,4
blur,radius,1.1,3,tKx7U,tkx7u,0,3
blur,radius,1.1,3,Oucqi,Oucqi,1,5
blur,radius,1.1,3,gc54X,gc54x,0,4
blur,radius,1.1,3,sJRm1,sJRm1,1,5
blur,radius,1.1,3,g9q5K,g9q5K,1,5
blur,radius,1.1,3,qicVz,qIcVz,0,4
blur,radius,1.1,3,6UFX1,6uFx1,0,3
blur,radius,1.1,3,pUpGJ,pUpGu,0,4
blur,radius,1.1,3,leunw,leunw,1,5
blur,radius,1.1,3,vwgd3,wgd3,0,0
blur,radius,1.1,3,sKDQl,sKDQI,0,4
blur,radius,1.1,3,h87sr,h87sr,1,5
blur,radius,1.1,3,lfqFS,IfqFs,0,3
blur,radius,1.1,3,qMQlR,qMQlR,1,5
blur,radius,1.1,3,IIkE4,lkE4,0,0
blur,radius,1.1,3,eu8aI,eu8aI,1,5
blur,radius,1.1,3,RsRz4,RsRz4,1,5
blur,radius,1.1,3,440sK,44OsK,0,4
blur,radius,1.1,3,WlCO7,wIcO7,0,2
blur,radius,1.1,3,It1Ds,It1Ds,1,5
blur,radius,1.1,3,rMZYY,rMzYY,0,4
blur,radius,1.1,3,2sPmb,2sPmb,1,5
blur,radius,1.1,3,LVLm2,tvLm2,0,3
blur,radius,1.1,3,mHloO,mHleO,0,4
blur,radius,1.1,3,bKPWn,bKPWn,1,5
blur,radius,1.1,3,apMaq,apMaq,1,5
blur,radius,1.1,3,n7rfd,n7rrd,0,4
blur,radius,1.1,3,AAbdR,AAbdR,1,5
blur,radius,1.1,3,85uGl,85uGI,0,4
blur,radius,1.1,3,KJC8h,KJc8h,0,4
blur,radius,1.1,3,pJ7fu,pJ7iu,0,4
blur,radius,1.1,3,8uqwc,8uqwc,1,5
blur,radius,1.1,3,VG3Gu,vG3Gu,0,4
blur,radius,1.1,3,GmF0m,GmFOm,0,4
blur,radius,1.1,3,GYsdS,GYsds,0,4
blur,radius,1.1,3,s9LYo,s9LY6,0,4
blur,radius,1.1,3,4ubvr,4ubvr,1,5
blur,radius,1.1,3,4C0FS,4cOFs,0,2
blur,radius,1.1,3,L9Als,L9AIs,0,4
blur,radius,1.1,3,piw8u,piw8u,1,5
blur,radius,1.1,3,x68PH,x68PH,1,5
blur,radius,1.1,3,kIbuV,kIbuv,0,4
blur,radius,1.1,3,ZVhNj,zvhNj,0,3
blur,radius,1.1,3,k9W7y,k9W7y,1,5
blur,radius,1.1,3,13EPa,13EPa,1,5
blur,radius,1.1,3,QvGxf,QvGxf,1,5
blur,radius,1.1,3,Dgt3G,Dgt3G,1,5
blur,radius,1.1,3,uuuIV,uuIv,0,2
blur,radius,1.1,3,iSQaJ,isQaJ,0,4
blur,radius,1.1,3,5lizu,51izu,0,4
blur,radius,1.1,3,eKUJC,eKUJc,0,4
blur,radius,1.1,3,ukxaD,ulxaD,0,4
blur,radius,1.1,3,GT8xC,GT8xc,0,4
blur,radius,1.1,3,VDKuk,vDKuk,0,4
blur,radius,1.1,3,EnUYx,EnUYx,1,5
blur,radius,1.1,3,Lb6bF,Lb6bF,1,5
blur,radius,1.1,3,yInn4,ylnn4,0,4
blur,radius,1.1,3,cEJsK,cEJsK,1,5
blur,radius,1.1,3,1hBhE,1hBhE,1,5
blur,radius,1.1,3,Ttaby,Trby,0,1
blur,radius,1.1,3,qeQ1k,qeQ1k,1,5
blur,radius,1.1,3,ijCPD,ijcPD,0,4
blur,radius,1.1,3,gvhNG,gvhNG,1,5
blur,radius,1.1,3,PVbAc,PvbAc,0,4
blur,radius,1.1,3,DAoot,DA66t,0,3
blur,radius,1.1,3,Hagc6,Hegc6,0,4
blur,radius,1.1,3,C9rsA,c9rsA,0,4
blur,radius,1.1,3,k1QXs,k1Qxs,0,4
blur,radius,1.1,3,O0LII,OLlI,0,2
blur,radius,1.1,3,0qDUd,OqDUd,0,4
blur,radius,1.1,3,9ezdG,9ezdG,1,5
blur,radius,1.1,3,TvKYK,TvKYK,1,5
blur,radius,1.1,3,A3Jao,A3Jae,0,4
blur,radius,1.1,3,BhFDo,BhFDe,0,4
blur,radius,1.1,3,CKKRl,cKkkRI,0,1
blur,radius,1.1,3,zYgfL,zYgfL,1,5
blur,radius,1.1,3,ptU3R,ptU3R,1,5
blur,radius,1.1,3,x6qzt,x6qzt,1,5
blur,radius,1.1,3,yB7XF,yB7XF,1,5
blur,radius,1.1,3,Q72kc,a72kc,0,4
blur,radius,1.1,3,dJX2J,dJX2J,1,5
blur,radius,1.1,3,F6ZjE,F6ZjE,1,5
blur,radius,1.1,3,ZVbE7,zvbE7,0,3
blur,radius,1.1,3,KB0wx,KBOwx,0,4
blur,radius,1.1,3,741tE,741tE,1,5
blur,radius,1.1,3,JbR1k,JbR1k,1,5
blur,radius,1.1,3,cqvPz,cqvPz,1,5
blur,radius,1.1,3,9BIwy,9Blwy,0,4
blur,radius,1.1,3,bn6PU,bn6Pu,0,4
blur,radius,1.1,3,9dKLI,9dKLI,1,5
blur,radius,1.1,3,DBlKs,DBIKs,0,4
blur,radius,1.1,3,KyGE4,KyGE4,1,5
blur,radius,1.1,3,TdReG,TdReG,1,5
blur,radius,1.1,3,6dtP1,6dtP1,1,5
blur,radius,1.1,3,VDDBl,vDDBI,0,3
blur,radius,1.1,3,O1Bvt,O1Bvu,0,4
blur,radius,1.1,3,XBk4Q,xBk4Q,0,4
blur,radius,1.1,3,CVjZy,cVjzy,0,3
blur,radius,1.1,3,r1rlX,r1rlx,0,4
blur,radius,1.1,3,iGgk4,iGgk4,1,5
blur,radius,1.1,3,BjXg3,BjXg3,1,5
